# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
125243 2457501.09640 1431 0.0854 2.8044173650e+05 -1.1451735188e+03 1.6844163702e+03 3.0918629171e-01 -7.1443919021e+00 -6.5162993125e-01 1.5322348665e+05 -1.5215925663e+03 -1.1637563767e+03 3.2118641031e+00 1.0163309011e+00 -1.5237139830e-01
125244 2457501.11684 1300 0.0843 2.7867528520e+05 -1.1317184409e+03 1.6878149754e+03 2.8362567166e-01 -7.1561222575e+00 -6.4721528334e-01 1.5306789337e+05 -1.5203069975e+03 -1.1624757909e+03 3.2091446447e+00 1.0097526678e+00 -1.6149178735e-01
125245 2457501.13727 1423 0.0851 2.7975966728e+05 -1.1395378834e+03 1.6900601855e+03 2.9790604638e-01 -7.1606357380e+00 -6.2858199435e-01 1.5170044635e+05 -1.5109086814e+03 -1.1696476088e+03 3.1935657425e+00 1.0455420248e+00 -1.1639459411e-01
125246 2457501.15770 1280 0.0804 2.8171141156e+05 -1.1528001363e+03 1.7020732049e+03 3.2140434518e-01 -7.1825211232e+00 -5.1756443012e-01 1.5241795693e+05 -1.5165065131e+03 -1.1723372384e+03 3.2031806253e+00 1.0304999518e+00 -2.3895650214e-01
125247 2457501.17815 1303 0.0828 2.7653310354e+05 -1.1152059765e+03 1.6940493732e+03 2.5425651086e-01 -7.1321559986e+00 -4.1667092638e-01 1.5181973746e+05 -1.5112146950e+03 -1.1639159605e+03 3.1930483856e+00 1.0240267666e+00 -1.1786234723e-01
125248 2457501.19858 1421 0.0793 2.7795702919e+05 -1.1233775225e+03 1.7174761579e+03 2.6656188268e-01 -7.1880596464e+00 -2.6525126928e-01 1.5543552530e+05 -1.5375288643e+03 -1.1589639797e+03 3.2405831472e+00 9.9925847254e-01 -1.4956772574e-01
125249 2457501.21902 1271 0.0806 2.8093549054e+05 -1.1420953404e+03 1.7504238676e+03 2.9639958679e-01 -7.2831745964e+00 -1.3292051146e-01 1.5580765287e+05 -1.5428174945e+03 -1.1835805589e+03 3.2534696571e+00 1.0590828842e+00 -3.0348159186e-01
125250 2457501.23945 1109 0.0827 2.8400889542e+05 -1.1605563718e+03 1.7927405127e+03 3.2391519568e-01 -7.4142669398e+00 -6.5581812219e-03 1.5569259038e+05 -1.5411800435e+03 -1.1758445630e+03 3.2500312332e+00 1.0509352972e+00 -2.0318456716e-01
125251 2457501.25988 744 0.0767 2.8794509348e+05 -1.1898150090e+03 1.7922004759e+03 3.7782455501e-01 -7.4213177962e+00 -5.0882058102e-02 1.5544269082e+05 -1.5460195896e+03 -1.2410605133e+03 3.2672458959e+00 1.2113086486e+00 -6.0124864887e-01
125252 2457501.28032 1414 0.0986 2.7752430461e+05 -1.1270799268e+03 1.6496338272e+03 2.8382069997e-01 -6.9839893835e+00 -4.9872796986e-01 1.5332795819e+05 -1.5244355331e+03 -1.1843254759e+03 3.2194323542e+00 1.0624848342e+00 -2.9984016455e-01
125253 2457501.30076 1280 0.0770 2.7548636785e+05 -1.1112139940e+03 1.6569454088e+03 2.5313841540e-01 -7.0086018997e+00 -4.8662196535e-01 1.5401719483e+05 -1.5311389108e+03 -1.1999423421e+03 3.2333194789e+00 1.0911578625e+00 -4.4299492488e-01
125254 2457501.32119 1397 0.0800 2.7674072408e+05 -1.1198907950e+03 1.6630797516e+03 2.6790977803e-01 -7.0343624024e+00 -5.0114630546e-01 1.5432162989e+05 -1.5318882982e+03 -1.1850428291e+03 3.2329704289e+00 1.0566639864e+00 -3.4124134029e-01
125255 2457501.34163 1269 0.0809 2.8044458462e+05 -1.1437707736e+03 1.6983574642e+03 3.0459930019e-01 -7.1832989690e+00 -5.8918490218e-01 1.5469060197e+05 -1.5303912848e+03 -1.1435414683e+03 3.2242427317e+00 9.3994780980e-01 -1.5912656854e-01
125256 2457501.36207 1036 0.0813 2.8048975599e+05 -1.1456719133e+03 1.6829169627e+03 3.1082840700e-01 -7.1299789978e+00 -6.0855641395e-01 1.5083791294e+05 -1.5064127475e+03 -1.1884819522e+03 3.1870904071e+00 1.0828448052e+00 -2.7545102021e-01
125257 2457501.38250 1293 0.0771 2.8115918935e+05 -1.1493976087e+03 1.6952455089e+03 3.1581833123e-01 -7.1682275582e+00 -5.7176092213e-01 1.5265036525e+05 -1.5185430302e+03 -1.1755616079e+03 3.2076272124e+00 1.0442574753e+00 -2.2999153092e-01
125258 2457501.40294 1342 0.0779 2.7976918112e+05 -1.1403372039e+03 1.6830675531e+03 3.0092554050e-01 -7.1310742430e+00 -6.1086455504e-01 1.5328175925e+05 -1.5226540687e+03 -1.1698232889e+03 3.2144599157e+00 1.0282289009e+00 -2.0452980534e-01
125259 2457501.42337 1417 0.0757 2.7850784861e+05 -1.1300099480e+03 1.6926186415e+03 2.8156729905e-01 -7.1353005016e+00 -4.5812848939e-01 1.5586767608e+05 -1.5409790109e+03 -1.1614655690e+03 3.2471922926e+00 1.0037933575e+00 -1.7277037311e-01
125260 2457501.44381 1305 0.0754 2.7996121352e+05 -1.1383269795e+03 1.7167088598e+03 2.9323565703e-01 -7.2087243371e+00 -3.8015652435e-01 1.6017977417e+05 -1.5713594150e+03 -1.1455565830e+03 3.3006540549e+00 9.4678470546e-01 -1.6291098336e-01
125261 2457501.46424 950 0.0790 2.7468392369e+05 -1.0973120849e+03 1.7348437845e+03 2.1647113708e-01 -7.2219741376e+00 -1.1598310137e-01 1.5540769145e+05 -1.5363620109e+03 -1.1496738620e+03 3.2353967258e+00 9.4058433300e-01 -2.6770927875e-01
125262 2457501.48469 191 0.0544 2.6232241245e+05 -1.0050041867e+03 1.7390245841e+03 4.4282525001e-02 -7.2350863610e+00 -1.0479627995e-01 1.4246074088e+05 -1.4385695536e+03 -1.1336957119e+03 3.0551038257e+00 9.6565006696e-01 1.4451942985e-01
125264 2457501.52555 1112 0.0918 2.7434567815e+05 -1.0915187719e+03 1.7667845135e+03 2.0281010202e-01 -7.2787225938e+00 1.8327173212e-01 1.5303762258e+05 -1.5228995429e+03 -1.1905766098e+03 3.2167919766e+00 1.0675409685e+00 -3.8739629644e-01
125265 2457501.54600 992 0.0725 2.7909762618e+05 -1.1265817511e+03 1.7685642046e+03 2.6613372292e-01 -7.3117905305e+00 5.3920356089e-02 1.5342172548e+05 -1.5244115075e+03 -1.1776182345e+03 3.2169576611e+00 1.0162981794e+00 -4.0337134674e-01
125266 2457501.56642 1002 0.0757 2.7974300964e+05 -1.1307404369e+03 1.7746203918e+03 2.7291257280e-01 -7.3297406672e+00 7.5864948326e-02 1.5291715280e+05 -1.5192152966e+03 -1.1633106530e+03 3.2066699224e+00 1.0031936091e+00 -2.0804925574e-01
125267 2457501.58686 848 0.0784 2.7939378265e+05 -1.1409353887e+03 1.6499710790e+03 3.0712198968e-01 -7.0317001991e+00 -7.2654280234e-01 1.6228897381e+05 -1.5837056034e+03 -1.1144595763e+03 3.3150961487e+00 7.8582216389e-01 -3.8564348747e-01
125268 2457501.60731 488 0.0633 2.8430312260e+05 -1.1644321598e+03 1.7760011665e+03 3.3541955434e-01 -7.3294734401e+00 1.0225079912e-01 1.4903576952e+05 -1.4976641169e+03 -1.2338610816e+03 3.1795522791e+00 1.2533385730e+00 -2.6541985572e-01
125269 2457501.62773 533 0.0758 2.9491987149e+05 -1.2492080716e+03 1.7176254819e+03 4.9840463532e-01 -7.2182964445e+00 -4.1162133205e-01 1.6167333107e+05 -1.5876424550e+03 -1.1971372008e+03 3.3349849557e+00 1.0302445602e+00 -6.8992882355e-01
125270 2457501.64818 172 0.0751 3.3897644802e+05 -1.5850251596e+03 1.6337098073e+03 1.1386595475e+00 -6.8922130848e+00 -3.4108834426e-01 6.8817838787e+04 -8.9752051952e+02 -1.1909299697e+03 2.0562669807e+00 1.0770357026e+00 -3.4784531746e-01
125271 2457501.66858 294 0.0737 2.7124005800e+05 -1.0756426525e+03 1.6964617135e+03 1.7869287703e-01 -7.1732268492e+00 -5.7448193326e-01 1.6665640263e+05 -1.6332428374e+03 -1.2815122171e+03 3.4316657920e+00 1.2665709198e+00 -1.0662603463e+00
125273 2457501.70946 396 0.0960 2.7273828219e+05 -1.0832495783e+03 1.7313069034e+03 1.9148011278e-01 -7.2008291102e+00 -7.6128988715e-02 1.4014937434e+05 -1.4237257422e+03 -1.1548802478e+03 3.0298200524e+00 1.0048706627e+00 -4.6566798344e-02
125274 2457501.72988 154 0.0781 3.0273664493e+05 -1.2781379458e+03 2.0013953090e+03 5.1378264395e-01 -7.9656081696e+00 1.0804025344e+00 1.5916646634e+05 -1.6011534613e+03 -1.5104172667e+03 3.4086385952e+00 1.9780232979e+00 -1.7378480782e+00
125276 2457501.77078 847 0.0790 2.7533511515e+05 -1.1030585648e+03 1.7260056270e+03 2.2960463569e-01 -7.1740472713e+00 -4.2335190098e-02 1.5579440217e+05 -1.5382986706e+03 -1.1404965831e+03 3.2399735146e+00 9.5955278332e-01 -8.8690289097e-03
125277 2457501.79121 1143 0.0764 2.7976002155e+05 -1.1359261940e+03 1.7255562963e+03 2.8953772447e-01 -7.1939491832e+00 -1.4791180089e-01 1.5877302972e+05 -1.5606080087e+03 -1.1426137765e+03 3.2798813781e+00 9.3098522883e-01 -1.8703367689e-01
125278 2457501.81165 1174 0.0767 2.8210817859e+05 -1.1446762288e+03 1.8102761594e+03 2.9389998735e-01 -7.4258051031e+00 2.5496363656e-01 1.5820141108e+05 -1.5575255008e+03 -1.1537591107e+03 3.2765099464e+00 9.7616782447e-01 -1.6840817799e-01
125279 2457501.83208 921 0.0782 2.8249958346e+05 -1.1514534089e+03 1.7723254508e+03 3.1115240848e-01 -7.3339702766e+00 1.5645820616e-02 1.6059391962e+05 -1.5717516030e+03 -1.1192809305e+03 3.2979461774e+00 8.7925986123e-01 -1.7090824055e-02
125280 2457501.85252 588 0.0750 2.8949020387e+05 -1.2009592383e+03 1.7951367179e+03 3.9750541875e-01 -7.4400718108e+00 -8.9629354130e-02 1.6339655866e+05 -1.6012339256e+03 -1.2042159002e+03 3.3634002093e+00 1.0898607732e+00 -5.2751768322e-01
125281 2457501.87295 364 0.0764 2.8468728886e+05 -1.1623575005e+03 1.8242517055e+03 3.2170722516e-01 -7.5222407351e+00 3.8279924503e-02 1.6147717088e+05 -1.5787503540e+03 -1.1234195064e+03 3.3112794264e+00 8.8520136238e-01 -6.3760755115e-02
125282 2457501.89338 292 0.0808 2.9657935758e+05 -1.2498964862e+03 1.8316094020e+03 4.8420455781e-01 -7.5220703139e+00 1.7198187076e-01 1.6711619489e+05 -1.6215947735e+03 -1.1336879537e+03 3.3872892051e+00 8.1902298368e-01 -5.7406560098e-01
125283 2457501.91384 180 0.0820 3.2537507690e+05 -1.4580282548e+03 1.8857654506e+03 8.5535353603e-01 -7.8143816716e+00 -2.7478730753e-01 1.5802541081e+05 -1.5456819943e+03 -1.0519122696e+03 3.2347231080e+00 5.9312649613e-01 -1.9348421537e-01
125284 2457501.93425 159 0.0667 2.7583670193e+05 -1.1188167144e+03 1.6088481567e+03 2.7181730804e-01 -6.9216738292e+00 -9.3044518911e-01 1.5670338007e+05 -1.5776014552e+03 -1.4573836463e+03 3.3564125788e+00 1.8058779992e+00 -1.6169887271e+00
